Inputs,Tool Outputs
"Compose a new email to Sarah and John, with the subject \""Project Seminar Tomorrow\"", attaching the project_updates.pdf.","{'get_email_address': ['John'], 'open_and_get_file_path': ['project_updates.pdf'], 'compose_new_email': [['$1', '$2'], [], 'Project Seminar Tomorrow', 'Please find attached the latest updates on the project for the seminar scheduled for tomorrow.', ['$3']], 'join': []}"
"Forward the current email with additional comments to John and Emma, cc Peter, and attach the files \""Proposal.pdf\"" and \""LectureNotes.docx\"".","{'get_email_address': ['Peter'], 'open_and_get_file_path': ['LectureNotes.docx'], 'forward_email': [['$1', '$2'], ['$3'], 'Please review the attached proposal and lecture notes for further discussion.', ['$4', '$5']], 'join': []}"
"Add the festival list to the note \""Team Party Notes\"" in the \""Work\"" folder.","{'append_note_content': ['Team Party Notes', 'festival list', 'Work'], 'join': []}"
"Create a note called \""Study Plan\"" with tips for effective studying. Then append more details about study resources to the same note. Finally, summarize the content of the PDF file \""Chemistry Notes.pdf\"".","{'create_note': ['Study Plan', 'Tips for effective studying:', ''], 'append_note_content': ['Study Plan', '$4', ''], 'open_and_get_file_path': ['Chemistry Notes.pdf'], 'summarize_pdf': ['$3'], 'join': []}"
"Reply to the email from Alice, attach the workshop calendar file \""TeamCampaignPlan.docx\"" and confirm the changes discussed.","{'get_email_address': ['Alice'], 'open_and_get_file_path': ['TeamCampaignPlan.docx'], 'reply_to_email': [['$1'], 'I have reviewed and confirm the changes discussed. Please find the attached workshop calendar.', ['$2']], 'join': []}"
"Send an SMS to Mom with the message \""Running late for dinner tonight.\"" Then, append the gathering schedule details to the existing note \""Team Celebration\"" in the \""Celebrations\"" folder, and reply to the email from Jane with the attached presentation slides for review.","{'get_phone_number': ['Mom'], 'send_sms': [['$1'], 'Running late for dinner tonight.'], 'append_note_content': ['Team Celebration', 'Gathering schedule details', 'Celebrations'], 'open_and_get_file_path': ['presentation slides'], 'reply_to_email': [[], 'Please find the attached presentation slides for review.', ['$4']], 'join': []}"
"Open the \""Competition List.docx\"" file and forward the latest email to John and Emma with attachments \""Report.pdf\"" and \""Notes.txt\"".","{'open_and_get_file_path': ['Notes.txt'], 'get_email_address': ['Emma'], 'forward_email': [['$2', '$3'], [], '', ['$4', '$5']], 'join': []}"
"Create a note called \""Recipe Ideas\"" in the \""Kitchen\"" folder with a list of ingredients for lasagna. Then, from the received email about the potluck, forward the email to Amy and Brian to discuss coordinating dishes.","{'create_note': ['Recipe Ideas', 'Lasagna Ingredients:\n- Ground Beef\n- Lasagna Noodles\n- Ricotta Cheese\n- Mozzarella Cheese\n- Parmesan Cheese\n- Tomato Sauce\n- Garlic\n- Onion\n- Oregano\n- Basil\n- Salt\n- Pepper', 'Kitchen'], 'get_email_address': ['Brian'], 'forward_email': [['$2', '$3'], [], ""Regarding the upcoming potluck, let's coordinate our dishes."", []], 'join': []}"
"Send a reminder via SMS to the study group about the upcoming exam and create a note with essential study tips for yourself in the \""Exam Prep\"" folder.","{'get_phone_number': ['study group'], 'create_note': ['Essential Study Tips', 'Make sure to review all previous quizzes, revise the key concepts outlined in the syllabus, and go through the practice problems at the end of each chapter.', 'Exam Prep'], 'send_sms': [['$1'], ""Hi everyone, just a friendly reminder about our upcoming exam. Let's make sure we're all prepared. Check out the 'Exam Prep' folder for some essential study tips!""], 'join': []}"
"Create a calendar event titled \""Team Party\"" for next Monday at 2:00 PM at \""Company Office\"" with invitees Jenny, Max, and Sarah.","{'get_email_address': ['Sarah'], 'create_calendar_event': ['Team Party', '2029-04-16 14:00:00', '2029-04-16 15:00:00', 'Company Office', ['$1', '$2', '$3'], '', None], 'join': []}"
"Reply to the email with the town hall notes attached and cc'ed to Alice. Create a calendar event named \""Team Lunch\"" on Friday at 12:00 PM at \""Cafe Milano\"" for John, Sarah, and Emma.","{'get_email_address': ['Emma'], 'open_and_get_file_path': ['town hall notes'], 'reply_to_email': [['$1'], '', ['$2']], 'create_calendar_event': ['Team Lunch', '2027-12-31 12:00:00', '2027-12-31 13:00:00', 'Cafe Milano', ['$4', '$5', '$6'], '', None], 'join': []}"
"Summarize the content of the \""ResearchPaper.pdf\"" file and create a reminder to review the paper by next Friday at 3:00 PM.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'create_reminder': ['Review Research Paper', '2024-04-13 15:00:00', '', '', 0, False], 'join': []}"
"Summarize the contents of the \""Research Paper.pdf\"" file and open the note titled \""Important Points\"" in the \""Studies\"" folder.","{'open_and_get_file_path': ['Research Paper.pdf'], 'summarize_pdf': ['$1'], 'open_note': ['Important Points', 'Studies'], 'join': []}"
Send a message to John and Sarah to meet at the library tomorrow and use walking directions from your current location to the library.,"{'get_phone_number': ['Sarah'], 'maps_show_directions': ['', 'library', 'w'], 'send_sms': [['$1', '$2'], ""Let's meet at the library tomorrow. Here are the walking directions from my current location: $3""], 'join': []}"
"Open the note \""Important Rally Details\"" in the \""Work\"" folder, then create a calendar event titled \""Team Strategy Rally\"" tomorrow at 3:00 PM with location at \""Main Conference Room\"" and invite Emily, John, and Lisa.","{'open_note': ['Important Rally Details', 'Work'], 'get_email_address': ['Lisa'], 'create_calendar_event': ['Team Strategy Rally', '2023-03-14 15:00:00', '2023-03-14 16:00:00', 'Main Conference Room', ['$2', '$3', '$4'], '', None], 'join': []}"
"Forward the latest exhibition minutes email to Emma and Sara, adding some context information, and include the document \""SeminarMinutes.docx\"". Then, send an SMS to Mom and Dad updating them about the exhibition.","{'get_email_address': ['Sara'], 'open_and_get_file_path': ['SeminarMinutes.docx'], 'get_phone_number': ['Dad'], 'forward_email': [['$1', '$2'], [], 'Please find the latest exhibition minutes and additional context information attached.', ['$3']], 'send_sms': [['$4', '$5'], ""Hi Mom and Dad, I wanted to update you about the exhibition. The latest minutes have been shared with Emma and Sara. I'll fill you in with more details later.""], 'join': []}"
"Send an email to John and Sarah with the subject \""Rally Details\"" and attach the \""Schedule.pdf\"" summary for tomorrow's competition. Include the location of the competition in Apple Maps in the context of the email.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['Schedule.pdf'], 'summarize_pdf': ['$3'], 'maps_open_location': ['location of the competition'], 'compose_new_email': [['$1', '$2'], [], 'Rally Details', ""Please find attached the summarized schedule for tomorrow's competition."", ['$3']], 'join': []}"
Send an SMS to John and Mary with the reminder of the team exhibition tomorrow at 10:00 AM at the company office and open the location on Apple Maps.,"{'get_phone_number': ['Mary'], 'maps_open_location': ['company office'], 'send_sms': [['$1', '$2'], 'Reminder: Team exhibition tomorrow at 10:00 AM at the company office.'], 'join': []}"
Send a reminder to attend the school fair next Friday from 10:00 AM to 2:00 PM at the School Ground to the teachers and students via text message and create a calendar event for the same.,"{'get_phone_number': ['students'], 'send_sms': [['$1', '$2'], 'Reminder: Attend the school fair next Friday from 10:00 AM to 2:00 PM at the School Ground.'], 'create_calendar_event': ['School Fair', '2029-02-23 10:00:00', '2029-02-23 14:00:00', 'School Ground', [], '', ''], 'join': []}"
Forward the latest email to Steven@gmail.com and Emma@yahoo.com with the updated project plan attached.,"{'open_and_get_file_path': ['updated project plan'], 'forward_email': [['Steven@gmail.com', 'Emma@yahoo.com'], [], '', ['$1']], 'join': []}"
"Append additional study material for tomorrow's exam to the note \""Biology Exam\"" in the \""School\"" folder. Also, create a reminder to revise the topic before the exam.","{'append_note_content': ['Biology Exam', ""Additional study material for tomorrow's exam."", 'School'], 'create_reminder': ['Revise Biology Exam Topic', '2024-04-03 08:00:00', 'Revise the topic before the exam.', '', 0, True], 'join': []}"
"Forward the email with the latest updates on the team retreat to Jane and Mark, and open the location of the retreat venue in Apple Maps.","{'get_email_address': ['Mark'], 'forward_email': [['$1', '$2'], [], 'Here are the latest updates on the team retreat.', []], 'maps_open_location': ['retreat venue'], 'join': []}"
"Retrieve the email address for \""Mark\"" and create a calendar event titled \""Team Product Class\"" for next Friday at 2:00 PM with Sarah, Emily, and the email invitees.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Team Product Class', '2024-11-01 14:00:00', '2024-11-01 15:00:00', '', ['$1', '$2', '$3'], '', None], 'join': []}"
"Open the file \""History_Book.pdf\"" and summarize its contents. Then, create a note named \""History Exam Notes\"" and write down the summarized content for future study.","{'open_and_get_file_path': ['History_Book.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['History Exam Notes', '$2', ''], 'join': []}"
"Create a note titled \""Vacation Plans\"" with details about your trip to Maui in the \""Travel\"" folder and open the location of the nearest snorkeling spot on Apple Maps.","{'create_note': ['Vacation Plans', 'Details about the trip to Maui will be added here.', 'Travel'], 'maps_open_location': ['snorkeling near Maui'], 'join': []}"
Send a message to Mom and Dad about the family dinner this Sunday.,"{'get_phone_number': ['Dad'], 'send_sms': [['$1', '$2'], 'Hi! Just a reminder about our family dinner this Sunday. Looking forward to it!'], 'join': []}"
"Send a reply email to Jess and Mark with the attached \""SeminarNotes.docx\"" and follow up with an SMS containing the get-together schedule details to the contacts from your list.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['SeminarNotes.docx'], 'get_phone_number': ['contacts from your list'], 'reply_to_email': [['$1', '$2'], 'Please find the attached document with the seminar notes.', ['$3']], 'send_sms': [['$4'], 'Hi all, just a quick reminder of the get-together schedule details. Looking forward to seeing you there!'], 'join': []}"
"Please forward the latest email to John, Sarah, and Mark with the rally details attached. Additionally, create a reminder for tomorrow to prepare the presentation slides for the rally. Lastly, reply to the same email thread with additional information for reference.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['rally details'], 'forward_email': [['$1', '$2', '$3'], [], '', ['$4']], 'create_reminder': ['Prepare Presentation Slides for Rally', '2023-02-09', '', '', 0, False], 'reply_to_email': [[], 'Here is the additional information for reference.', []], 'join': []}"
"Append the new town hall notes to the \""Team Competition\"" note, summarize the \""Sales Report.pdf\"" file, and contact John Doe to share the update via email.","{'open_and_get_file_path': ['Sales Report.pdf'], 'get_email_address': ['John Doe'], 'append_note_content': ['Team Competition', 'new town hall notes', ''], 'summarize_pdf': ['$1'], 'compose_new_email': [['$2'], [], 'Team Competition Update', ""Hi John,\n\nPlease find attached the summarized sales report and note the appended town hall notes to the 'Team Competition' note."", ['$1']], 'join': []}"
Send a quick SMS to Tom and Jenny wishing them a great weekend!,"{'get_phone_number': ['Jenny'], 'send_sms': [['$1', '$2'], 'Hope you both have a great weekend!'], 'join': []}"
"Reply to the email regarding the team match schedule with the updated list and attach the file \""TeamSeminarList.docx\"". Additionally, create a calendar event for the team match on Friday next week at 2:00 PM, inviting John, Sarah, and Alex. Finally, append the match details to the \""Team Seminars\"" note.","{'get_email_address': ['Alex'], 'open_and_get_file_path': ['TeamSeminarList.docx'], 'create_calendar_event': ['Team Match', '2024-08-31 14:00:00', '2024-08-31 15:00:00', '', ['$1', '$2', '$3'], '', None], 'append_note_content': ['Team Seminars', 'Team match is scheduled for Friday next week at 2:00 PM.', ''], 'reply_to_email': [[], 'The team match schedule has been updated. Please find the attached file with the updated list.', ['$4']], 'join': []}"
"Create a calendar event named \""Festival\"" for tomorrow at 3:00 PM at \""Downtown Cafe\"" with invitees John.Doe@berkeley.edu and Jane.Smith@berkeley.edu. Also, create a note titled \""Festival Outline\"" in the \""Festivals\"" folder with the program and open this note for review.","{'create_calendar_event': ['Festival', '2024-04-10 15:00:00', '2024-04-10 16:00:00', 'Downtown Cafe', ['John.Doe@berkeley.edu', 'Jane.Smith@berkeley.edu'], '', None], 'create_note': ['Festival Outline', 'Program:', 'Festivals'], 'open_note': ['Festival Outline', 'Festivals'], 'join': []}"
Send a text message to John and Sarah with the details of the gathering outline for tomorrow.,"{'get_phone_number': ['Sarah'], 'open_and_get_file_path': ['gathering_outline'], 'summarize_pdf': ['$3'], 'send_sms': [['$1', '$2'], 'Hi John and Sarah, please find the details of our gathering for tomorrow: $4'], 'join': []}"
"Show me walking directions from home to the library on Main Street and update the note \""Study Plan\"" with the library's hours for tomorrow's study session.","{'maps_show_directions': ['', 'library on Main Street', 'w'], 'append_note_content': ['Study Plan', ""Library hours for tomorrow's study session: "", ''], 'join': []}"
"Send a text message to Mom and Dad saying \""Arriving home soon\"" and then add \""Buy groceries\"" to the shopping list note in the \""Tasks\"" folder.","{'get_phone_number': ['Dad'], 'send_sms': [['$1', '$2'], 'Arriving home soon'], 'append_note_content': ['shopping list', 'Buy groceries', 'Tasks'], 'join': []}"
"Add the notes from yesterday's lecture to the \""Biology\"" folder in a new note titled \""Cell Division\"" and include detailed information on mitosis and meiosis.","{'create_note': ['Cell Division', 'Detailed information on mitosis and meiosis will be added here.', 'Biology'], 'join': []}"
"Reply to the email from Sarah with the celebration notes attached and create a new note titled \""Action Items\"" summarizing the tasks discussed in the celebration.","{'open_and_get_file_path': ['celebration'], 'reply_to_email': [[], 'Please find the attached celebration notes.', ['$1']], 'summarize_pdf': ['$3'], 'create_note': ['Action Items', '$4', ''], 'join': []}"
"Please summarize the PDF file \""ResearchPaper.pdf\"" and show me directions from my current location to the \""Columbia University\"" using public transit.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'maps_show_directions': ['', 'Columbia University', 'r'], 'join': []}"
"Create a reminder to \""Buy groceries\"" for next Sunday and create a note titled \""Recipe Ideas\"" with your favorite recipes in the \""Cooking\"" folder.","{'create_reminder': ['Buy groceries', '2024-04-09', '', '', 0, True], 'create_note': ['Recipe Ideas', 'Favorite recipes will be added here.', 'Cooking'], 'join': []}"
"Forward the email titled \""Lesson Calendar\"" to Emily, Alex, and Sandra with updates and create a calendar event for the workshop scheduled for next Monday from 10:00 AM to 11:00 AM at \""Office Conference Room\"".","{'get_email_address': ['Sandra'], 'forward_email': [['$1', '$2', '$3'], [], 'Please see the updates to the lesson calendar attached.', []], 'create_calendar_event': ['Workshop', '2024-08-05 10:00:00', '2024-08-05 11:00:00', 'Office Conference Room', ['$1', '$2', '$3'], '', None], 'join': []}"
"Compose a new email to James and Emily with the subject \""Weekend Plans\"" and attach the itinerary for the trip, including a map location for the hiking trail in the context.","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['itinerary'], 'maps_open_location': ['hiking trail'], 'compose_new_email': [['$1', '$2'], [], 'Weekend Plans', '$4', ['$3']], 'join': []}"
"Create a calendar event titled \""Team Exhibition\"" on Friday at 2:00 PM at \""Office Conference Room\"", invite Alice, Bob, and Charlie, and send them a reminder SMS to prepare for the rally.","{'get_email_address': ['Charlie'], 'get_phone_number': ['Charlie'], 'create_calendar_event': ['Team Exhibition', '2029-01-12 14:00:00', '2029-01-12 15:00:00', 'Office Conference Room', ['$1', '$2', '$3'], '', None], 'send_sms': [['$4', '$5', '$6'], 'Reminder: Please prepare for the rally at the Team Exhibition event this Friday at 2:00 PM.'], 'join': []}"
"Forward the email \""Course Timetable\"" to John and Emma with a copy to Sarah and attach the file \""Timetable.pdf\"" in the forward.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['Timetable.pdf'], 'forward_email': [['$1', '$2'], ['$3'], 'Course Timetable', ['$4']], 'join': []}"
"Create a calendar event titled \""Team Concert\"" from 3:00 PM to 4:00 PM next Monday at \""Conference Room 2,\"" inviting John.Doe@email.com and Jane.Doe@email.com.","{'create_calendar_event': ['Team Concert', '2023-04-10 15:00:00', '2023-04-10 16:00:00', 'Conference Room 2', ['John.Doe@email.com', 'Jane.Doe@email.com'], '', None], 'join': []}"
"Open the location of \""The Guggenheim, New York\"" in Apple Maps and create a reminder to take a walk there tomorrow at 9:00 AM.","{'maps_open_location': ['The Guggenheim, New York'], 'create_reminder': ['Take a walk at The Guggenheim', '2024-11-01 09:00:00', '', '', 0, False], 'join': []}"
"Add the new chemistry study guide to the existing note named \""Chemistry Notes\"" in the \""Science\"" folder.","{'open_and_get_file_path': ['chemistry study guide'], 'summarize_pdf': ['$1'], 'append_note_content': ['Chemistry Notes', '$2', 'Science'], 'join': []}"
"Open the file \""PresentationSlides.key\"" to review the content, create a reminder to practice the presentation for tomorrow at 3 PM, and reply to the email with any additional attachments or information requested.","{'open_and_get_file_path': ['PresentationSlides.key'], 'create_reminder': ['Practice Presentation', '2023-08-13 15:00:00', '', '', 0, False], 'reply_to_email': [[], 'I have reviewed the presentation slides and will be practicing them tomorrow at 3 PM.', ['$1']], 'join': []}"
"Create a calendar event titled \""Team Workshop\"" on Friday at 10:00 AM at the \""Office,\"" inviting John.Doe@nvidia.com and Jane.Smith@nvidia.com. Include the discussion points in the calendar notes and append the debate details to the note named \""Workshop Notes\"" in the \""Business\"" folder.","{'create_calendar_event': ['Team Workshop', '2023-01-13 10:00:00', '2023-01-13 11:00:00', 'Office', ['John.Doe@nvidia.com', 'Jane.Smith@nvidia.com'], 'discussion points', None], 'append_note_content': ['Workshop Notes', 'debate details', 'Business'], 'join': []}"
Create a reminder for tomorrow at 9:00 AM to study for the history exam with high priority.,"{'create_reminder': ['Study for History Exam', '2024-02-14 09:00:00', '', '', 1, False], 'join': []}"
"Schedule a study session titled \""Exam Prep\"" from 7:00 PM to 9:00 PM on Wednesday with Alice, Bob, and Charlie invited, at the library.","{'get_email_address': ['Charlie'], 'create_calendar_event': ['Exam Prep', '2025-07-16 19:00:00', '2025-07-16 21:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Create a reminder to \""Buy Anniversary Gift\"" by next Thursday with high priority and all-day event status.","{'create_reminder': ['Buy Anniversary Gift', '2024-09-05', '', '', 1, True], 'join': []}"
"Reply to the email from John_Doe@hotmail.com with your feedback attached and create a note titled \""Feedback\"" in the \""Personal\"" folder.","{'open_and_get_file_path': ['feedback'], 'reply_to_email': [[], 'Please find attached my feedback.', ['$1']], 'create_note': ['Feedback', 'Attached feedback to the email as requested.', 'Personal'], 'join': []}"
"Open directions to \""Penn Station\"" in Apple Maps and append show details to the note \""Team Lesson Program\"". Then, create a reminder for \""Review Presentation\"" by next Monday.","{'maps_show_directions': ['', 'Penn Station', 'd'], 'append_note_content': ['Team Lesson Program', 'Show details for Penn Station directions.', ''], 'create_reminder': ['Review Presentation', '2024-05-29 00:00:00', '', '', 0, True], 'join': []}"
"Create a calendar event for the team performance tomorrow at 2:00 PM at the \""Office Conference Room,\"" then append the performance schedule to the note \""Team Lesson Notes\"" in the \""Lessons\"" folder, and finally, open the location for the offsite team-building event in Apple Maps.","{'create_calendar_event': ['Team Performance', '2025-10-26 14:00:00', '2025-10-26 15:00:00', 'Office Conference Room', [], '', None], 'append_note_content': ['Team Lesson Notes', 'Performance Schedule:\n- Introduction\n- Team Performance\n- Feedback session', 'Lessons'], 'maps_open_location': ['offsite team-building event'], 'join': []}"
"Summarize the content of the PDF file \""Monthly_Report.pdf\"", create a new note titled \""Performance Notes\"" with the list for tomorrow's get-together, then open the note \""Project Updates\"" in the \""Work\"" folder and append the latest progress details.","{'open_and_get_file_path': ['Monthly_Report.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Performance Notes', ""List for tomorrow's get-together will be added here."", ''], 'open_note': ['Project Updates', 'Work'], 'append_note_content': ['Project Updates', 'Latest progress details.', 'Work'], 'join': []}"
"Send a message with the final presentation details to Alex, Emma, and John.","{'get_email_address': ['John'], 'compose_new_email': [['$1', '$2', '$3'], [], 'Final Presentation Details', 'Hello everyone,\n\nPlease find the final details for the upcoming presentation attached.', []], 'join': []}"
"Open the location of \""Lincoln Center, New York\"" in Apple Maps and create a note with tips for the upcoming picnic in the \""Outings\"" folder.","{'maps_open_location': ['Lincoln Center, New York'], 'create_note': ['Picnic Tips', 'Tips for the upcoming picnic will be added here.', 'Outings'], 'join': []}"
"Create a reminder called \""Party with Team\"" for next Monday at 9:00 AM regarding the new project details. Then, create a calendar event titled \""Team Lunch\"" on Friday at 12:30 PM at \""Café Bistro\"" with invitees John.Doe@email.com and Jane.Smith@email.com. Next, open the note \""Weekly Goals\"" in the \""Productivity\"" folder for review.","{'create_reminder': ['Party with Team', '2024-03-19 09:00:00', 'Discuss new project details', '', 0, False], 'create_calendar_event': ['Team Lunch', '2024-03-23 12:30:00', '2024-03-23 13:30:00', 'Café Bistro', ['John.Doe@email.com', 'Jane.Smith@email.com'], '', None], 'open_note': ['Weekly Goals', 'Productivity'], 'join': []}"
"Open the \""Weekly Update.pdf\"" file.","{'open_and_get_file_path': ['Weekly Update.pdf'], 'join': []}"
Forward the email from Sarah to Michael and Emma with the project updates attached for review.,"{'get_email_address': ['Emma'], 'open_and_get_file_path': ['project updates'], 'forward_email': [['$1', '$2'], [], 'Please review the attached project updates.', ['$3']], 'join': []}"
"Append the reunion notes to the \""Team Conference\"" note in the \""Work\"" folder and forward the email to Sarah and Mark with the revised notes attached.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['revised notes'], 'append_note_content': ['Team Conference', 'reunion notes', 'Work'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'join': []}"
"Create a note titled \""Project Ideas\"" in the \""Ideas\"" folder with initial brainstorming notes and summarize the content of the \""BrainstormingSession.pdf\"".","{'create_note': ['Project Ideas', 'Initial brainstorming notes will be added here.', 'Ideas'], 'open_and_get_file_path': ['BrainstormingSession.pdf'], 'summarize_pdf': ['$2'], 'append_note_content': ['Project Ideas', '$3', 'Ideas'], 'join': []}"
"Forward the important project updates email to Jane and Mark, including the summarized PDF \""ProjectSummary.pdf\"" in the attachments.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['ProjectSummary.pdf'], 'summarize_pdf': ['$3'], 'forward_email': [['$1', '$2'], [], 'Please see the attached summarized project updates.', ['$4']], 'join': []}"
"Append additional notes to the existing \""Marketing Strategy\"" note in the \""Business Plans\"" folder, and open the file \""ExhibitionPlan.docx\"" for reference during the strategy show tomorrow.","{'open_and_get_file_path': ['ExhibitionPlan.docx'], 'append_note_content': ['Marketing Strategy', 'Additional notes will be appended here.', 'Business Plans'], 'join': []}"
"Create a new note titled \""Study Plan\"" with study tips and goals for the upcoming exam in the \""Education\"" folder.","{'create_note': ['Study Plan', 'Study tips and goals for the upcoming exam will be added here.', 'Education'], 'join': []}"
"Schedule a study group session for next Saturday from 2:00 PM to 4:00 PM at the library with Jane, Mark, and Sarah.","{'get_email_address': ['Sarah'], 'create_calendar_event': ['Study Group Session', '2025-04-26 14:00:00', '2025-04-26 16:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Compose a new email to Maria with the subject \""Game Details\"" and attach the presentation file. Include the Zoom link in the context for the upcoming virtual workshop.","{'get_email_address': ['Maria'], 'open_and_get_file_path': ['presentation'], 'get_zoom_meeting_link': ['Virtual Workshop', '2027-01-31 08:00:00', 60, ['$1']], 'compose_new_email': [['$1'], [], 'Game Details', '$3', ['$2']], 'join': []}"
"Send an SMS to Mom and Dad with the message \""Leaving office now\"" and create a reminder to pick up groceries tomorrow at 5:00 PM.","{'get_phone_number': ['Dad'], 'send_sms': [['$1', '$2'], 'Leaving office now'], 'create_reminder': ['Pick up groceries', '2023-09-10 17:00:00', '', '', 0, False], 'join': []}"
"Forward the email with the updates on \""Project Proposal\"" to Stephanie and Mark, attach the \""Proposal.pdf\"" file, and send a follow-up SMS to Jessica regarding the forwarded email.","{'get_email_address': ['Mark'], 'get_phone_number': ['Jessica'], 'open_and_get_file_path': ['Proposal.pdf'], 'forward_email': [['$1', '$2'], [], 'Please find the attached updated Project Proposal.', ['$4']], 'send_sms': [['$3'], 'I have forwarded the email with the updates on the Project Proposal to Stephanie and Mark.'], 'join': []}"
"Send the directions from your current location to \""Soho\"" for a walking route to John via email as requested earlier.","{'get_email_address': ['John'], 'maps_show_directions': ['', 'Soho', 'w'], 'compose_new_email': [['$1'], [], 'Walking Directions to Soho', '$2', []], 'join': []}"
"Set a reminder to \""Buy Groceries\"" for tomorrow with a priority, then head to the store for shopping.","{'create_reminder': ['Buy Groceries', '2024-07-19 00:00:00', '', '', 1, True], 'maps_show_directions': ['', 'grocery store', 'd'], 'join': []}"
"Open directions to \""Golden Gate Bridge\"" in Apple Maps, then compose an email to John and Alice including a map location to the Golden Gate Bridge in the context. Finally, forward the current email to Sarah with an attached presentation file for review.","{'maps_show_directions': ['', 'Golden Gate Bridge', 'd'], 'get_email_address': ['Sarah'], 'open_and_get_file_path': ['presentation file'], 'compose_new_email': [['$2', '$3'], [], 'Directions to Golden Gate Bridge', '$1', []], 'forward_email': [['$4'], [], '', ['$5']], 'join': []}"
"Create a reminder to call John tomorrow at 10:00 AM, then compose a new email to John updating on the project status and include the notes draft.","{'create_reminder': ['Call John', '2024-04-16 10:00:00', '', '', 0, False], 'get_email_address': ['John'], 'open_and_get_file_path': ['notes draft'], 'compose_new_email': [['$2'], [], 'Project Status Update', 'Hi John,\n\nI wanted to give you an update on the current status of our project. Please see the attached notes draft for more details.', ['$3']], 'join': []}"
"Please open the document named \""Competition List.docx.\""","{'open_and_get_file_path': ['Competition List.docx'], 'join': []}"
"Open Apple Maps and show directions from your current location to \""Grand Central Terminal.\""","{'maps_show_directions': ['', 'Grand Central Terminal', 'd'], 'join': []}"
"Create a note titled \""Recipe Ideas\"" with different dinner recipes in the \""Cooking\"" folder.","{'create_note': ['Recipe Ideas', 'Different dinner recipes will be added here.', 'Cooking'], 'join': []}"
"Compose an email with the subject \""Weekend Plans\"" to Jack and Jill, cc Mike, attach the document \""WeekendSchedule.pdf,\"" and include the map location of \""Penn Station\"" in the context for the gathering spot.","{'get_email_address': ['Mike'], 'open_and_get_file_path': ['WeekendSchedule.pdf'], 'maps_open_location': ['Penn Station'], 'compose_new_email': [['$1', '$2'], ['$3'], 'Weekend Plans', 'Please find attached the schedule for our weekend plans and the gathering spot on the map below.\n\n$5', ['$4']], 'join': []}"
"Summarize the \""Marketing_Report.pdf\"" file you opened.","{'open_and_get_file_path': ['Marketing_Report.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Send an SMS to Mom and Dad with the message, \""Arriving home late, don't wait up.\""","{'get_phone_number': ['Dad'], 'send_sms': [['$1', '$2'], ""Arriving home late, don't wait up.""], 'join': []}"
"Create a reminder to \""Buy Birthday Gift\"" for next Thursday, then forward an email containing the gift ideas to Amy and John for their input.","{'create_reminder': ['Buy Birthday Gift', '2024-02-17 00:00:00', '', '', 0, True], 'get_email_address': ['John'], 'open_and_get_file_path': ['gift ideas'], 'forward_email': [['$2', '$3'], [], '', ['$4']], 'join': []}"
"Set a reminder to \""Buy Birthday Gift for Mom\"" for next Saturday with a priority of high.","{'create_reminder': ['Buy Birthday Gift for Mom', '2024-10-27', '', '', 1, True], 'join': []}"
"Create a note titled \""Shopping List\"" with items to buy tomorrow and set a reminder to \""Buy Anniversary Gift\"" for next week with medium priority.","{'create_note': ['Shopping List', 'Items to buy tomorrow will be added here.', ''], 'create_reminder': ['Buy Anniversary Gift', '2024-11-29 23:59:59', 'Reminder to buy an anniversary gift.', '', 2, True], 'join': []}"
"Show me directions in Apple Maps from \""Home\"" to \""Work\"" for walking.","{'maps_show_directions': ['Home', 'Work', 'w'], 'join': []}"
"Show me the walking directions from my current location to \""The Apollo\"".","{'maps_show_directions': ['', 'The Apollo', 'w'], 'join': []}"
Forward the email to John Doe and Jane Smith with the updated project plan attached and send a follow-up SMS to confirm receipt.,"{'get_email_address': ['Jane Smith'], 'open_and_get_file_path': ['updated project plan'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'get_phone_number': ['Jane Smith'], 'send_sms': [['$5', '$6'], 'Please confirm receipt of the email with the updated project plan.'], 'join': []}"
"Create a note titled \""Recipe Collection\"" with different recipes for pasta, curry, and salads in the \""Cooking\"" folder.","{'create_note': ['Recipe Collection', 'Different recipes for pasta, curry, and salads will be added here.', 'Cooking'], 'join': []}"
