input,tool_outputs
"Forward the email from Mark with the attachments \""ConferenceNotes.pdf\"" to Emma, John, and Sarah for their review.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ConferenceNotes.pdf'], 'forward_email': [['$1', '$2', '$3', '$4'], [], '', ['$5']], 'join': []}"
"Compose an email to Kate regarding the weekend trip, CCing Mike, with the subject \""Weekend Getaway Planning,\"" and include the Map location of the selected vacation spot in the email.",{}
"Compose a new email inviting Chris, Sarah, and Emma to the virtual book club rally next week. Include the Zoom link in the email context. Then forward the book club discussion notes as \""BookClubNotes.docx\"" to the attendees.",{}
"Reply to the email from James, thanking him for the information. Attach the latest report PDF and create a reminder to review it by next week. Lastly, get directions from your current location to \""Union Square Park\"" using public transit.",{}
"Create a calendar event named \""Team Building Workshop\"" for next Friday at 10:00 AM at \""Bryant Park\"" and invite John and Sarah. Also, send an SMS reminder about the event to both participants.",{}
Send confirmation messages to John and Kate about the lunch reservation at Bella Italia tomorrow.,{}
"Please show me walking directions from your current location to \""The New School\"" on Apple Maps and forward the email to John with the summary attached.",{}
"Create a reminder to \""Prepare for Presentation\"" by next Monday with notes on the key points to cover.",{}
"Schedule a study group session titled \""Exam Prep\"" on Saturday at 2:00 PM to 4:00 PM at the library, inviting Alice, John, and Sarah.","{'get_email_address': ['Sarah'], 'create_calendar_event': ['Exam Prep', '2024-12-06 14:00:00', '2024-12-06 16:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Forward the email to John and Sarah with the attachment \""ShowNotes.docx.”","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ShowNotes.docx'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'join': []}"
"Find the email address of \""Alice\"" and send her an invitation for the virtual book club get-together on Friday at 7:00 PM.",{}
Find and send Dave's phone number to initiate a video call using FaceTime.,"{'get_phone_number': ['Dave'], 'send_sms': [['+1234567890'], 'Hi Dave, I would like to discuss some important matters over video call.'], 'join': []}"
"Open the note titled \""Project Ideas\"" in the \""Work\"" folder, then summarize the PDF file \""ResearchPaper.pdf\"" and view the location of \""Lincoln Center\"" in Apple Maps.","{'open_note': ['Project Ideas', 'Work'], 'open_and_get_file_path': ['ResearchPaper.pdf'], 'maps_open_location': ['Lincoln Center'], 'summarize_pdf': ['$2'], 'join': []}"
"Compose a new email to Alice and John with the subject \""Town hall Program\"" and attach the file \""Program.docx\"".","{'get_email_address': ['John'], 'open_and_get_file_path': ['Program.docx'], 'compose_new_email': [['$1', '$2'], [], 'Town hall Program', '', ['$3']], 'join': []}"
Send a reminder via SMS to John and Amy about the upcoming study group session tomorrow at 3:00 PM.,"{'get_phone_number': ['Amy'], 'send_sms': [['$1', '$2'], ""Reminder: Don't forget our study group session tomorrow at 3:00 PM.""], 'join': []}"
"Send a reminder to pick up a gift for Dad by next Tuesday,  prioritize it, and then show walking directions from your current location to the gift shop.",{}
"Open the note titled \""Debate List\"" in the \""Work\"" folder and then create a reminder for the team class tomorrow at 10:00 AM with high priority.",{}
"Open Apple Maps to locate the nearest Italian restaurant near \""Soho\"".","{'maps_open_location': ['nearest Italian restaurant'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift for Dad\"" for next Saturday at 3:00 PM and set it with high priority.",{}
"Forward the email with the attachment \""WeddingNotes.docx\"" to John.Doe@gmail.com and Jane.Smith@yahoo.com, and CC your colleague, Sarah.Green@hotmail.com.","{'open_and_get_file_path': ['WeddingNotes.docx'], 'forward_email': [['John.Doe@harvard.edu', 'Jane.Smith@harvard.edu'], ['Sarah.Green@hotmail.com'], '', ['$1']], 'join': []}"
"Forward the email titled \""Team Tournament Program\"" to John, Sarah, and Mark, and create a calendar event for tomorrow's performance from 2:00 PM to 4:00 PM at the office.",{}
"Send a note titled \""Celebration Details\"" with the address to Canberk, Alice, and Jake via SMS. Then create a note with the course outline and location details.",{}
"Create a reminder to prepare for the exam on Monday, append additional study notes to the \""Biology Study\"" note, and create a new note called \""Chemistry Study\"" with key formulas in the \""Science\"" folder.","{'create_reminder': ['Prepare for Exam', '2024-04-05 23:59:59', '', '', 0, True], 'append_note_content': ['Biology Study', 'Additional study notes.', ''], 'create_note': ['Chemistry Study', 'Key formulas will be added here.', 'Science'], 'join': []}"
"Schedule a campaign titled \""Team Brainstorming Session\"" at the office next Wednesday from 2:00 PM to 4:00 PM with invitees Sarah, John, and Emma.","{'get_email_address': ['Emma'], 'create_calendar_event': ['Team Brainstorming Session', '2024-12-05 14:00:00', '2024-12-05 16:00:00', 'the office', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please open the note named \""Shopping List\"" in the \""Personal\"" folder, append the items you need for the party, and then forward the list to Mom and Dad for reference. Additionally, open the location for the party venue on Apple Maps.",{}
"Please summarize the content of the file named \""ResearchPaper.pdf\"" after opening it using the file path provided.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open the note titled \""Shopping List\"" in the \""Personal\"" folder, then send an SMS to Mom and Dad to remind them about the grocery shopping, and proceed to open directions to the grocery store in Apple Maps.",{}
"Forward the email with the latest updates to Mary and John. Then, open and get the file path for the document \""Project Proposal.pdf\"" for further review.",{}
"Create a reminder for \""Buy Birthday Gift\"" due next Monday, set as high priority. Also, show directions from \""Home\"" to \""Gift Shop\"" using public transit.","{'create_reminder': ['Buy Birthday Gift', '2024-04-06 23:59:59', '', '', 1, True], 'maps_show_directions': ['Home', 'Gift Shop', 'r'], 'join': []}"
"Forward the email to Mark and Emily with the project proposal attached. Then, summarize the \""ResearchPaper.pdf\"" and append the key findings to the note \""Research Notes\"".",{}
"Open the \""Assignment.pdf\"" file and create a note titled \""Research Notes\"" in the \""Academic\"" folder with your findings on the topic.",{}
"Send an SMS to Jane and Sam about the protest time change; then, append the protest timetable to the \""Team Debate\"" note in the \""Debates\"" folder.",{}
"Reply to John's email with directions to the new restaurant via Apple Maps and a message saying, \""Looking forward to trying out the food!\""",{}
"Schedule a study group session titled \""Biology Review\"" for next Saturday at 3:00 PM until 5:00 PM at the campus library. Invite classmates Emma, Alex, and Sophia.","{'get_email_address': ['Sophia'], 'create_calendar_event': ['Biology Review', '2024-12-06 15:00:00', '2024-12-06 17:00:00', 'the campus library', ['$1', '$2', '$3'], '', None], 'join': []}"
"After opening the PDF file \""Annual_Report.pdf,\"" summarize its content for the upcoming board debate.","{'open_and_get_file_path': ['Annual_Report.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Create a calendar event for the study group performance titled \""Chemistry Review\"" next Saturday from 3:00 PM to 5:00 PM at the library and invite Mia and Alex. Also, open directions to the library on Apple Maps.","{'get_email_address': ['Alex'], 'create_calendar_event': ['Chemistry Review', '2024-12-07 15:00:00', '2024-12-07 16:00:00', 'the library', ['$1', '$2'], '', None], 'maps_show_directions': ['', 'the library', 'd'], 'join': []}"
"Open Apple Maps and append additional notes to the festival details note, then set a reminder for the team lunch at the new restaurant tomorrow, and summarize the \""Monthly Report.pdf\"" file.",{}
"Compose an email to Mark and Sarah with the subject \""Exhibition Tomorrow\"" and attach the file \""ExhibitionCalendar.pdf\"". In the email's content, provide the summarized version of the attachment. If you want to include a specific location or Zoom link in the email, please add it to the context parameter.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ExhibitionCalendar.pdf'], 'summarize_pdf': ['$3'], 'compose_new_email': [['$1', '$2'], [], 'Exhibition Tomorrow', '$4', ['$3']], 'join': []}"
"Compose a new email to John.Doe@email.com with the subject \""Campaign Schedule\"" and attach the file \""Schedule.docx.\"" In the email, please include the location of the new office in the context for John's reference.",{}
"Append the festival notes from \""ShowMinutes.docx\"" to the note \""Project Discussion\"" in the \""Work\"" folder and reply to the email with additional insights, including the updated minutes attached.",{}
"Create a note titled \""Gathering Program\"" with the itinerary items for the weekly team competition. Afterwards, compose an email to John and Sarah regarding the competition with the subject \""Team Gathering Program\"" and attach the notes.",{}
"Create a note titled \""Lecture Plan\"" with the program points listed and open the note. Then, show walking directions from your current location to the library for your study session.","{'create_note': ['Lecture Plan', 'Program points listed will be added here.', ''], 'maps_show_directions': ['', 'library', 'w'], 'join': []}"
"Summarize the \""Research Paper.pdf\"" file and then open the note titled \""Conference Notes\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['Research Paper.pdf'], 'summarize_pdf': ['$1'], 'open_note': ['Conference Notes', 'Work'], 'join': []}"
"Send an SMS to Mom, Dad, and Grandma wishing them a Happy Thanksgiving with a reminder to pick up the turkey from the store tomorrow at 3:00 PM.",{}
"Create a reminder to \""Buy Birthday Gift\"" for next Friday with notes about gift ideas, then create a note titled \""Gift Ideas\"" in the \""Shopping\"" folder with various gift suggestions. After that, send an SMS to Mom and Dad with the summarized list of gift suggestions from the \""Gift Ideas.pdf\"" document.",{}
"Summarize the contents of the document \""ResearchPaper.pdf\"", create a note with the summary, and save it in the \""Research\"" folder.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Summary of Research Paper', '$2', 'Research'], 'join': []}"
"Create a reminder to \""Buy Groceries\"" for next Monday, then open the shopping list document \""ShoppingList.docx\"" to check what you need to buy. After that, create a note titled \""Recipe Ideas\"" in the \""Cooking\"" folder to jot down some recipe inspirations. Finally, open the location \""Apple Store\"" in Apple Maps to plan your visit.",{}
"Schedule a study group concert titled \""Biology Revision\"" for next Wednesday at 3:00 PM with Jessie, Ben, and Maria in the library.","{'get_email_address': ['Maria'], 'create_calendar_event': ['Biology Revision', '2024-12-05 15:00:00', '2024-12-05 16:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Create a reminder to call Sarah tomorrow at 2:00 PM with high priority. Then, open the note labeled \""Town hall Schedule\"" in the \""Work\"" folder.",{}
"Create a note titled \""Music Event Planning\"" in the \""Events\"" folder and add the details. Then get the directions from your current location to the \""Concert Hall\"" for walking.",{}
"Create a note titled \""Study Plan\"" with details on preparing for the upcoming exams in the \""Education\"" folder.",{}
"Open the document \""Debate_Minutes.docx\"" for review, reply to the email with additional notes attached, and open the note titled \""Action Items\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['Debate_Minutes.docx'], 'reply_to_email': [[], 'Please find the attached document for review.', ['$1']], 'open_note': ['Action Items', ''], 'join': []}"
"Compose an email to Alice and Bob with the subject \""Team Conference Tomorrow\"" and include the Zoom link in the context. Summarize the document \""ProjectUpdate.pdf\"" and attach the summary to the email. Finally, create a calendar event for the team performance tomorrow at 10:00 AM.",{}
"Create a new note titled \""Town hall Outline\"" with the outline items for tomorrow's team debate in the \""Work\"" folder and set a reminder to review the outline at 9:00 AM tomorrow with high priority.",{}
"Add the game calendar to the note titled \""Team Protest\"" in the \""Work\"" folder for tomorrow's discussion.",{}
"Reply to the email from Jane with the summary of the PDF report \""QuarterlyReport.pdf\"" attached, and also send a quick SMS to John and Emma regarding the project update.",{}
"Open the file \""ExhibitionProgram.docx\"", show directions from \""Home\"" to \""Work\"" by walking, and create a calendar event for the team lesson tomorrow at 9:00 AM.","{'open_and_get_file_path': ['ExhibitionProgram.docx'], 'maps_show_directions': ['Home', 'Work', 'w'], 'create_calendar_event': ['Team Lesson', '2024-04-05 09:00:00', '2024-04-05 10:00:00', '', [], '', None], 'join': []}"
"Create a new note titled \""Weekend Trip Plans\"" with details on activities and routes in the \""Travel\"" folder. Also, append the packing list to the same note and look up directions from \""Home\"" to \""Camping Site\"" for driving.",{}
"Create a note titled \""Recipe Ideas\"" in the \""Cooking\"" folder with some new recipe inspirations.",Error: 2
"Open the note named \""Project Ideas\"" in the \""Creative\"" folder, then append the new brainstorming session notes to it. After that, compose a new email to Alice and Bob with the subject \""Brainstorming Session Recap\"" and attach the file \""ProjectSummary.pdf\"".",{}
"Create a new note titled \""Shopping List\"" with \""Eggs, Milk, Bread\"" in the \""Groceries\"" folder. Afterwards, open Apple Maps to find directions to \""Soho.\"" Don't forget to set a reminder to go shopping tomorrow.","{'create_note': ['Shopping List', 'Eggs, Milk, Bread', ''], 'maps_show_directions': ['', 'Soho', 'd'], 'create_reminder': ['Go shopping', '2024-12-01 09:00:00', '', '', 0, True], 'join': []}"
"Open the file \""ShoppingList.txt\"", append \""Buy milk and eggs\"" to the note titled \""Grocery\"" in the \""Personal\"" folder, and create a reminder to \""Go grocery shopping\"" for tomorrow.",{}
"Add the study notes from the \""Biology Exam\"" document to the existing note titled \""Science Notes\"" in the \""School\"" folder.","{'open_and_get_file_path': ['Biology Exam'], 'summarize_pdf': ['$1'], 'append_note_content': ['Science Notes', '$2', 'School'], 'join': []}"
"Compose an email to Bob and Alice with the subject \""Rally Recap\"" and include the summary of the document \""ProjectRally.pdf\"" attached. Additionally, create a calendar event for the next team celebration titled \""Weekly Sync\"" on Monday at 9:00 AM.",{}
"Create a note titled \""Vacation Plans\"" with the itinerary details. Show directions from your current location to the hotel in Hawaii via walking. Next, schedule a wedding for tomorrow at 3:00 PM at the hotel with Emily and Mark, adding any additional notes about the wedding. Finally, compose an email to Jane with the subject \""Vacation Details\"" and include the map location in the email content.",{}
"Add the additional points on \""Literature Review\"" to your note in the \""Research\"" folder and send a message to James and Sarah about the upcoming show using the message \""Reminder: Debate tomorrow at 3 PM\"".",{}
"Create a reminder to \""Buy Birthday Gift for Mom\"" due next Saturday with high priority, summarize the document \""GiftIdeas.pdf,\"" and show walking directions from \""Home\"" to \""Gift Shop\"" to plan your visit.",{}
"Reply to the email from Alex with the reunion details shared earlier, adding Hannah to the CC list, and create a calendar event for the reunion next Monday at 2:00 PM at \""Starbucks.\""",{}
"Find the email address for \""Emily\"" and send her the assignment details for tomorrow.","{'get_email_address': ['Emily'], 'compose_new_email': [['$1'], [], 'Assignment Details', 'Hi Emily,\n\nPlease find the details of the assignment attached.', []], 'join': []}"
"Create a reminder titled \""Exhibition with James\"" tomorrow at 2:00 PM, open the note \""Itinerary\"" in the \""Work\"" folder, and create a new note titled \""Exhibition Notes\"" for the discussion points.",{}
"Create a note titled \""Recipe Ideas\"" with different meal suggestions for the upcoming dinner party in the \""Cooking\"" folder.",{}
"Create a calendar event titled \""Team Party\"" tomorrow at 2:00 PM with Sarah, Mark, and Jane as invitees at the office. Then, compose a new email to attendees with the calendar attached, including the location map in the email.",{}
"Open directions to Addison Park in Apple Maps and add the activity schedule for tomorrow to the note \""Weekend Plans\"" in the \""Personal\"" folder.","{'maps_show_directions': ['', 'Addison Park', 'd'], 'append_note_content': ['Weekend Plans', 'Activity schedule for tomorrow:', 'Personal'], 'join': []}"
Send an email to Sarah with the updated presentation attached.,"{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['updated presentation'], 'compose_new_email': [['$1'], [], 'Updated Presentation', 'Please find the attached updated presentation.', ['$2']], 'join': []}"
"Summarize the content of the \""ResearchPaper.pdf\"" document and create a new note titled \""Research Summary\"" in the \""Academic\"" folder with the summary. After that, compose a new email to John.Doe@gmail.com with the subject \""Research Summary\"" and attach the \""Research Summary\"" note.",{}
"Reply to the email from Emma regarding the project status, attach the presentation slides, and summarize the attached PDF.","{'open_and_get_file_path': ['project status report.pdf'], 'summarize_pdf': ['$2'], 'reply_to_email': [[], 'Please find the attached presentation slides and the summary of the project status report.', ['$1', '$2']], 'join': []}"
"Open the note \""Tournament Notes\"" in the \""Work\"" folder, append the key points discussed during the marketing presentation, and then compose a new email to Canberk, Alice, and Jake with the updated notes attached.",{}
"Compose a new email to Alice, Bob, and Charlie with the subject \""Reunion Program\"" and attach the document \""ReunionNotes.docx.\"" Additionally, include the location of 'Starbucks' in the context for this concert.",{}
Reply to the email from John.Doe@company.com with the updated report attached.,{}
"Schedule a match titled \""Team Check-in\"" with Marie and John for next Monday at 2:00 PM at the office, and set a reminder to prepare the match program by the end of the week.",{}
"Open Apple Maps to find directions to \""Lincoln Center, New York City\"".","{'maps_show_directions': ['', 'Lincoln Center, New York City', 'd'], 'join': []}"
"Forward the email with the attachment \""ProtestDetails.pdf\"" to Aaron, Hannah, and Sarah for review.",{}
"Send a reminder to Dad, Mom, and Sarah about the upcoming family dinner tomorrow at 7:00 PM.",{}
"Summarize the \""ResearchPaper.pdf\"" and then compose a new email to Jane and Mark with the subject \""Research Summary\"" and attach the summary of the paper to the email.",{}
"Summarize the content of the file \""Research_Paper.pdf\"".","{'open_and_get_file_path': ['Research_Paper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Please forward the email with the subject \""Weekly Newsletter\"" to Alice and Bob with the summary of the attached document \""Financial_Report.pdf\"".",{}
"Send a reminder about the study group presentation tomorrow at 3 PM to Mary, Sam, and Alex through SMS.","{'get_phone_number': ['Alex'], 'send_sms': [['$1', '$2', '$3'], ""Reminder: Study group presentation is tomorrow at 3 PM. Don't forget to review the materials!""], 'join': []}"
"Create a note titled \""Town hall Preparation\"" with notes on the discussion points for the upcoming performance in the \""Work\"" folder.",{}
"Create a reminder to buy party supplies for Susan's birthday next Sunday, compose an email to Mary and John regarding the gift contributions with the event details, include a map location of the party venue in the email, and create a calendar event for the birthday party with attendees.",{}
"Create a calendar event titled \""Team Festival\"" tomorrow from 2:00 PM to 3:00 PM at \""Office Conference Room\"" with invitees John.Doe@harvard.edu and Jane.Smith@harvard.edu, and open the timetable file \""TeamFestivalProgram.docx\"" for reference. ",{}
Create a reminder to buy birthday presents with high priority for next week and send an SMS to mom and dad reminding them to prepare for the surprise party.,{}
"Append the key points from the \""ResearchPaper.pdf\"" to the existing note titled \""Important Research\"" in the default folder and then send an SMS containing the summary to 555-123-4567.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'append_note_content': ['Important Research', '$2', ''], 'send_sms': [['555-123-4567'], '$2'], 'join': []}"
Send a reminder message about tomorrow's exam to both John and Sarah.,{}
"Open the location \""The Plaza Hotel\"" in Apple Maps.","{'maps_open_location': ['The Plaza Hotel'], 'join': []}"
"Reply to John's email with the summary of the attachment \""BudgetSummary.pdf\"" and attach the directions to \""123 Main Street\"" in Apple Maps for tomorrow's game.",{}
"Show me walking directions from \""Home\"" to \""School\"" using Apple Maps.","{'maps_show_directions': ['Home', 'School', 'w'], 'join': []}"
"Open the location \""Lenox Hill, New York\"" in Apple Maps and append the park's visiting hours to the note \""Travel Plans\"" in the \""Vacation\"" folder.",{}
"Send an SMS to Amy and Bob with the text \""Game tomorrow at 11:00 AM\"", compose a new email to Maria and Sam with the subject \""Game Details\"" and attach the \""Program.docx\"" file. Additionally, create a calendar event titled \""Team Game\"" from 10:00 AM to 12:00 PM next Friday with location at \""Office\"".",{}
"Compose a new email to John and Emma with the subject \""Campaign Recap\"" and forward the current email thread to Mark, including the attachments.",{}
Open Apple Maps and find directions to the nearest Italian restaurant to plan our dinner outing.,{}
"Forward the email with the document \""Campaign Schedule.docx\"" attached to John.Doe@email.com and Jane.Smith@email.com, with the context \""Please review for discussion\"" and include the location \""The Guggenheim\"" in the email to plan the campaign.",Error: 1
"Create a note titled \""Exhibition Minutes\"" in the \""Work\"" folder with the key points discussed, then reply to the email with additional details and attach the summary of the \""Project Proposal.pdf\"" document.",{}
"Open the note \""Shopping List\"" located in the \""Personal\"" folder and show directions from \""Home\"" to \""Supermarket\"" for walking.","{'open_note': ['Shopping List', 'Personal'], 'maps_show_directions': ['Home', 'Supermarket', 'w'], 'join': []}"
"Send an email to Mark and Emma with the subject \""Campaign Details\"" and a Zoom link in the context. Additionally, create a note titled \""Campaign Outline\"" in the \""Business Campaigns\"" folder and set a reminder to review it by next week.",{}
"Send an email to Emma with the subject \""Project Updates\"" and attach the summary of the \""Quarterly Report.pdf\"". Include the Zoom link for tomorrow's exhibition in the context and send an SMS notification about the email to John and Sarah.",{}
"Summarize the \""ResearchPaper.pdf,\"" create a calendar event for the seminar on September 20th, reply to the email with the presentation details, and create a note with the key points for the presentation.",{}
"Show me walking directions from \""The New School\"" to \""Times Square\"" in Apple Maps.","{'maps_show_directions': ['The New School', 'Times Square', 'w'], 'join': []}"
"Show me walking directions from \""Home\"" to \""School\"" in Apple Maps.","{'maps_show_directions': ['Home', 'School', 'w'], 'join': []}"
"Summarize the \""Research_Paper.pdf\"" for the upcoming discussion, and then reply to the email from John with your feedback attached. Lastly, create a reminder to finalize the report by tomorrow at 5 PM.",{}
"Compose a new email to Mary regarding the project updates, attach the \""FestivalMinutes.docx\"" file, and include a map location of the project site in the email context. Additionally, create a reminder to review the project plan by next Monday at 10:00 AM and show directions from \""Home\"" to \""Work\"" using Apple Maps for tomorrow's exhibition.",{}
"Summarize the \""Proposal.pdf\"" file, then append the summary to the existing note titled \""Project Proposal\"" in the \""Work\"" folder, and create a calendar event for the project review protest next Monday at 10:00 AM with John, Sarah, and Emily invited.",{}
"Set a reminder to \""Buy Birthday Gift for Mom\"" due next Saturday, make it a high priority, and open \""Apple Store\"" in Apple Maps to find the nearest location for shopping.",{}
"Send an SMS to Mom and Dad reminding them about the family dinner tomorrow at 7:00 PM. Also, create a reminder named \""Family Dinner\"" for the same event.",{}
"Show walking directions from your current location to the campus bookstore, and summarize the content of the \""Textbook_2022.pdf\"" after opening the file.","{'maps_show_directions': ['', 'campus bookstore', 'w'], 'open_and_get_file_path': ['Textbook_2022.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
"Reply to the email from John regarding the project updates with the latest progress report attached. Then, create a calendar event for the project presentation next Monday at 9:00 AM with John, Sarah, and Michael invited.",{}
"Show me walking directions from my current location to Per Se and create a note titled \""Park Ideas\"" with content \""Ideas for the picnic\"" in the \""Outings\"" folder.","{'maps_show_directions': ['', 'Per Se', 'w'], 'create_note': ['Park Ideas', 'Ideas for the picnic', 'Outings'], 'join': []}"
"Create a reminder to buy groceries on next Saturday, set the priority to high, and create a calendar event for a team wedding on Friday at 3:00 PM with John.Doe@berkeley.edu, Jane.Smith@berkeley.edu, and Mark.Richards@berkeley.edu.",{}
Reply to the email from Sarah with the feedback attached and cc to John.,"{'get_email_address': ['John'], 'open_and_get_file_path': ['feedback'], 'reply_to_email': [['$1'], 'Please find the attached feedback.', ['$2']], 'join': []}"
"Forward the email to Emily and Tom, with Jane in cc. Include the note \""PerformanceMinutes\"" from the \""Minutes\"" folder as an attachment.","{'get_email_address': ['Tom'], 'open_and_get_file_path': ['PerformanceMinutes'], 'forward_email': [['$1', '$2'], ['Jane@example.com'], '', ['$3']], 'join': []}"
"Forward the email with the subject \""Seminar Schedule\"" to Canberk, Alice, and Jake with the attached document \""SeminarNotes.pdf\"". Then open the note titled \""Conference Planning\"" in the \""Events\"" folder and check the details. Next, find directions from your current location to \""The Peninsula\"" via walking mode using Apple Maps.","{'get_email_address': ['Jake'], 'open_and_get_file_path': ['SeminarNotes.pdf'], 'forward_email': [['$1', '$2', '$3'], [], 'Seminar Schedule', ['$4']], 'open_note': ['Conference Planning', 'Events'], 'maps_show_directions': ['', 'The Peninsula', 'w'], 'join': []}"
"Show me walking directions from \""Work\"" to \""The Dead Rabbit\"" in Apple Maps.","{'maps_show_directions': ['Work', 'The Dead Rabbit', 'w'], 'join': []}"
"Summarize the content of the document \""ResearchPaper.pdf\"".","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Show walking directions from \""Home\"" to \""Library\"" for tomorrow and append these directions to the note titled \""Library Visit\"" in the \""Personal\"" folder.",{}
"Open the file \""PresentationSlides.pptx\"" to review for the lesson tomorrow.",{}
"Create a calendar event titled \""Birthday Celebration\"" for next Saturday at 7:00 PM at Addison Park with Sara, John, and Emily invited. Additionally, send an SMS to Mom and Dad about the party arrangements.",{}
"Please summarize the document \""ResearchPaper.pdf\"".","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Send a quick SMS to mom, dad, and sister about tonight's dinner plan at 7 PM.","{'get_phone_number': ['sister'], 'send_sms': [['$1', '$2', '$3'], 'Hi everyone, just a quick reminder about our dinner plan tonight at 7 PM.'], 'join': []}"
"Forward the selected email to Sarah, John, and Emma with an attached summary, then reply to the same email with additional context and attach the document \""ProjectPlan.pdf.\""",{}
"Add the key points from today's lecture to the note \""Class Notes\"" in the \""School\"" folder.","{'append_note_content': ['Class Notes', ""Key points from today's lecture: "", 'School'], 'join': []}"
"Forward the current email to Adam and Lily, append additional notes to the \""Gathering Minutes\"" note in the \""Work\"" folder, then open the location of \""Le Bernardin\"" in Apple Maps to plan a visit, and finally send an SMS to Mom with the rally details.",{}
Send a message to Sarah and Alex about the upcoming study session tomorrow at 3 PM.,{}
"Compose a new email to Emma with the subject \""Match Schedule\"" and attach the document \""Schedule.pdf.\"" Use the context to summarize the content of the PDF in the email.",{}
"Add the updated phone number of \""Alice\"" to the note named \""Contacts\"" in the \""Personal\"" folder and create a new note titled \""Debate Notes\"" for the upcoming discussion program.",{}
"Open the note titled \""Grocery List\"" in the \""Personal Notes\"" folder, then show the directions from \""Home\"" to \""Work\"" for walking in Apple Maps.","{'open_note': ['Grocery List', 'Personal Notes'], 'maps_show_directions': ['Home', 'Work', 'w'], 'join': []}"
"Please open the document \""Weekly Report.pdf\"" to review the latest updates.","{'open_and_get_file_path': ['Weekly Report.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Find the directions from your current location to \""The Whitney\"" for a walking route in Apple Maps.","{'maps_show_directions': ['', 'The Whitney', 'w'], 'join': []}"
"Forward the email with a summary to John, Sarah, and Mark, including the attachment \""ConcertDetails.pdf.\""","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['ConcertDetails.pdf'], 'summarize_pdf': ['$4'], 'forward_email': [['$1', '$2', '$3'], [], 'Please find the attached summary.', ['$4']], 'join': []}"
"Compose a new email to Emily with the subject \""Rally Summary\"" and attach the document \""SummaryReport.pdf\"". Please also summarize the \""Project Presentation.pdf\"" for context in the email.","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['Project Presentation.pdf'], 'summarize_pdf': ['$2'], 'compose_new_email': [['$1'], [], 'Rally Summary', '$4', ['$3']], 'join': []}"
"Summarize the content of the document \""ResearchPaper.pdf\"" to help with your study notes, then open the note \""Chemistry Study Guide\"" in the \""School\"" folder to add the key points from the summary.",{}
"Create a calendar event titled \""Team Tournament\"" for next Wednesday at 2:00 PM with invitees JohnDoe@yahoo.com and JaneSmith@yahoo.com at the office.",Error: 1
"Create a calendar event titled \""Team Campaign\"" on Friday at 2:00 PM inviting John, Sarah, and Michael.","{'get_email_address': ['Michael'], 'create_calendar_event': ['Team Campaign', '2024-12-05 14:00:00', '2024-12-05 15:00:00', '', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please open the file named \""Project Proposal.docx.\""","{'open_and_get_file_path': ['Project Proposal.docx'], 'join': []}"
"Please summarize the contents of the \""ResearchPaper.pdf\"" after retrieving the file path.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
Show me directions from my current location to the nearest bookstore for a walking tour.,"{'maps_show_directions': ['', 'nearest bookstore', 'w'], 'join': []}"
Reply to the email from Emily with your feedback attached. Send a copy of the reply to John and Sarah.,{}
"Summarize the \""Research Paper.pdf\"" file, then append the key points to the note titled \""Research\"" in the \""Academic\"" folder. Finally, open the note \""Research\"" to review the document summary.",{}
"Open the file \""WeddingNotes.pdf\"" and summarize its content for the team lecture tomorrow.",{}
"Show me driving directions from \""Home\"" to \""Work\"" using Apple Maps.","{'maps_show_directions': ['Home', 'Work', 'd'], 'join': []}"
"Show me the directions from home to the library for a study session using public transit, then open the note titled \""Chemistry Formulas\"" in the \""School\"" folder and summarize the \""OrganicChemistry.pdf\"" document for quick reference.",{}
"Create a reminder to \""Submit Essay\"" by next Monday with the note \""Check for grammar errors\"" and set it as a high-priority task.",{}
